1000 1 200
137.5 37.5 12.5 3.125
37.5 156.25 12.5 3.125
175 12.5 3.125 12.5
37.5 18.75 12.5 6.25
112.5 125 12.5 6.25
12.5 134.375 12.5 3.125
75 87.5 3.125 12.5
56.25 137.5 3.125 12.5
187.5 25 12.5 3.125
18.75 137.5 3.125 12.5
106.25 112.5 3.125 12.5
81.25 75 6.25 12.5
90.625 87.5 3.125 12.5
50 137.5 6.25 12.5
81.25 87.5 6.25 12.5
112.5 59.375 12.5 3.125
62.5 100 12.5 12.5
162.5 87.5 12.5 12.5
31.25 187.5 3.125 12.5
37.5 46.875 12.5 3.125
109.375 187.5 3.125 12.5
25 37.5 12.5 6.25
96.875 87.5 3.125 12.5
12.5 137.5 6.25 12.5
37.5 37.5 12.5 6.25
12.5 168.75 12.5 6.25
112.5 71.875 12.5 3.125
12.5 150 12.5 12.5
187.5 162.5 12.5 3.125
187.5 53.125 12.5 3.125
162.5 25 12.5 3.125
187.5 193.75 12.5 3.125
25 187.5 6.25 12.5
175 28.125 12.5 3.125
187.5 96.875 12.5 3.125
50 100 12.5 12.5
125 187.5 3.125 12.5
187.5 187.5 12.5 6.25
87.5 162.5 12.5 12.5
87.5 128.125 12.5 3.125
37.5 9.375 12.5 3.125
37.5 43.75 12.5 3.125
100 175 6.25 12.5
175 75 12.5 12.5
134.375 187.5 3.125 12.5
46.875 75 3.125 12.5
43.75 75 3.125 12.5
12.5 12.5 12.5 3.125
87.5 125 12.5 3.125
40.625 75 3.125 12.5
37.5 137.5 6.25 12.5
37.5 75 3.125 12.5
137.5 71.875 12.5 3.125
25 46.875 12.5 3.125
25 43.75 12.5 3.125
12.5 21.875 12.5 3.125
0 6.25 12.5 3.125
0 9.375 12.5 3.125
12.5 9.375 12.5 3.125
12.5 6.25 12.5 3.125
112.5 143.75 12.5 3.125
112.5 65.625 12.5 3.125
137.5 43.75 12.5 3.125
112.5 62.5 12.5 3.125
137.5 62.5 12.5 3.125
12.5 15.625 12.5 3.125
12.5 193.75 12.5 6.25
162.5 31.25 12.5 6.25
112.5 137.5 12.5 6.25
128.125 187.5 3.125 12.5
109.375 175 3.125 12.5
37.5 128.125 12.5 3.125
162.5 165.625 12.5 3.125
112.5 37.5 12.5 3.125
162.5 159.375 12.5 3.125
0 15.625 12.5 3.125
137.5 65.625 12.5 3.125
37.5 153.125 12.5 3.125
37.5 56.25 12.5 3.125
75 162.5 12.5 12.5
40.625 87.5 3.125 12.5
43.75 87.5 3.125 12.5
0 21.875 12.5 3.125
187.5 18.75 12.5 3.125
187.5 75 12.5 12.5
100 187.5 6.25 12.5
87.5 87.5 3.125 12.5
37.5 50 12.5 6.25
150 31.25 12.5 6.25
187.5 28.125 12.5 3.125
12.5 31.25 12.5 3.125
12.5 40.625 12.5 3.125
12.5 28.125 12.5 3.125
12.5 0 12.5 3.125
25 87.5 12.5 12.5
87.5 150 12.5 12.5
187.5 12.5 12.5 6.25
187.5 0 12.5 6.25
168.75 112.5 6.25 12.5
37.5 62.5 12.5 6.25
12.5 3.125 12.5 3.125
106.25 187.5 3.125 12.5
25 128.125 12.5 3.125
125 125 3.125 12.5
181.25 0 3.125 12.5
131.25 187.5 3.125 12.5
137.5 75 12.5 12.5
112.5 68.75 12.5 3.125
175 0 3.125 12.5
150 150 12.5 6.25
75 128.125 12.5 3.125
175 62.5 12.5 3.125
25 0 12.5 3.125
100 62.5 12.5 3.125
112.5 43.75 12.5 3.125
184.375 0 3.125 12.5
143.75 125 3.125 12.5
100 65.625 12.5 3.125
106.25 125 3.125 12.5
25 15.625 12.5 3.125
0 150 12.5 12.5
125 71.875 12.5 3.125
25 112.5 6.25 12.5
37.5 34.375 12.5 3.125
37.5 150 12.5 3.125
34.375 100 3.125 12.5
31.25 100 3.125 12.5
125 43.75 12.5 3.125
25 159.375 12.5 3.125
25 156.25 12.5 3.125
193.75 112.5 3.125 12.5
162.5 28.125 12.5 3.125
25 153.125 12.5 3.125
25 150 12.5 3.125
196.875 112.5 3.125 12.5
75 125 12.5 3.125
25 100 6.25 12.5
62.5 50 12.5 12.5
75 12.5 6.25 12.5
87.5 12.5 12.5 12.5
78.125 87.5 3.125 12.5
137.5 28.125 12.5 3.125
187.5 68.75 12.5 3.125
125 65.625 12.5 3.125
12.5 18.75 12.5 3.125
0 12.5 12.5 3.125
134.375 175 3.125 12.5
137.5 25 12.5 3.125
25 12.5 12.5 3.125
25 9.375 12.5 3.125
150 168.75 12.5 6.25
75 187.5 12.5 3.125
12.5 25 12.5 3.125
12.5 43.75 12.5 6.25
62.5 150 12.5 3.125
62.5 68.75 12.5 6.25
100 0 12.5 12.5
106.25 150 3.125 12.5
0 168.75 12.5 6.25
40.625 100 3.125 12.5
37.5 100 3.125 12.5
46.875 87.5 3.125 12.5
112.5 40.625 12.5 3.125
125 40.625 12.5 3.125
125 37.5 12.5 3.125
37.5 31.25 12.5 3.125
150 159.375 12.5 3.125
150 25 12.5 3.125
37.5 87.5 3.125 12.5
0 43.75 12.5 6.25
62.5 153.125 12.5 3.125
62.5 62.5 12.5 6.25
115.625 0 3.125 12.5
106.25 100 3.125 12.5
112.5 0 3.125 12.5
75 103.125 12.5 3.125
100 71.875 12.5 3.125
128.125 175 3.125 12.5
75 100 12.5 3.125
150 165.625 12.5 3.125
175 53.125 12.5 3.125
125 175 3.125 12.5
0 134.375 12.5 3.125
131.25 150 3.125 12.5
112.5 112.5 3.125 12.5
53.125 37.5 3.125 12.5
175 162.5 12.5 3.125
37.5 168.75 12.5 6.25
112.5 162.5 12.5 12.5
175 100 6.25 12.5
162.5 150 12.5 6.25
118.75 0 6.25 12.5
175 96.875 12.5 3.125
25 165.625 12.5 3.125
25 162.5 12.5 3.125
175 25 12.5 3.125
137.5 0 12.5 12.5
184.375 100 3.125 12.5
181.25 100 3.125 12.5
153.125 112.5 3.125 12.5
112.5 150 12.5 12.5
25 168.75 12.5 6.25
112.5 75 12.5 12.5
87.5 53.125 12.5 3.125
12.5 162.5 12.5 3.125
65.625 37.5 3.125 12.5
150 137.5 3.125 12.5
137.5 15.625 12.5 3.125
43.75 100 3.125 12.5
112.5 100 3.125 12.5
100 59.375 12.5 3.125
150 87.5 12.5 12.5
150 112.5 3.125 12.5
125 46.875 12.5 3.125
125 62.5 12.5 3.125
187.5 125 3.125 12.5
143.75 150 3.125 12.5
137.5 50 12.5 3.125
187.5 50 12.5 3.125
62.5 21.875 12.5 3.125
187.5 93.75 12.5 3.125
162.5 100 3.125 12.5
175 125 6.25 12.5
37.5 6.25 12.5 3.125
90.625 25 3.125 12.5
87.5 25 3.125 12.5
25 18.75 12.5 6.25
12.5 165.625 12.5 3.125
46.875 100 3.125 12.5
181.25 125 6.25 12.5
112.5 90.625 12.5 3.125
100 75 12.5 12.5
0 193.75 12.5 6.25
100 100 3.125 12.5
62.5 6.25 12.5 3.125
62.5 118.75 12.5 3.125
175 56.25 12.5 3.125
153.125 0 3.125 12.5
150 162.5 12.5 3.125
150 0 3.125 12.5
75 59.375 12.5 3.125
0 131.25 12.5 3.125
137.5 125 6.25 12.5
75 56.25 12.5 3.125
75 53.125 12.5 3.125
50 112.5 12.5 3.125
75 50 12.5 3.125
12.5 75 12.5 12.5
62.5 37.5 3.125 12.5
156.25 0 6.25 12.5
0 75 12.5 12.5
0 87.5 12.5 12.5
12.5 87.5 12.5 12.5
87.5 50 12.5 3.125
156.25 12.5 6.25 12.5
150 156.25 12.5 3.125
100 137.5 3.125 12.5
87.5 106.25 12.5 3.125
0 112.5 12.5 12.5
50 37.5 3.125 12.5
175 31.25 12.5 6.25
178.125 12.5 3.125 12.5
168.75 125 6.25 12.5
75 106.25 12.5 3.125
62.5 121.875 12.5 3.125
162.5 56.25 12.5 3.125
100 31.25 12.5 3.125
137.5 162.5 6.25 12.5
187.5 59.375 12.5 3.125
18.75 100 6.25 12.5
175 175 12.5 12.5
12.5 100 6.25 12.5
59.375 25 3.125 12.5
93.75 37.5 3.125 12.5
162.5 137.5 6.25 12.5
56.25 25 3.125 12.5
53.125 25 3.125 12.5
37.5 3.125 12.5 3.125
50 25 3.125 12.5
50 134.375 12.5 3.125
162.5 181.25 12.5 3.125
137.5 12.5 12.5 3.125
187.5 87.5 12.5 6.25
190.625 137.5 3.125 12.5
0 100 12.5 12.5
187.5 65.625 12.5 3.125
162.5 59.375 12.5 3.125
137.5 53.125 12.5 3.125
65.625 25 3.125 12.5
112.5 87.5 12.5 3.125
190.625 112.5 3.125 12.5
62.5 25 3.125 12.5
12.5 187.5 12.5 6.25
84.375 12.5 3.125 12.5
93.75 25 3.125 12.5
62.5 175 12.5 12.5
150 184.375 12.5 3.125
193.75 125 6.25 12.5
25 131.25 12.5 3.125
100 150 6.25 12.5
0 71.875 12.5 3.125
175 71.875 12.5 3.125
0 68.75 12.5 3.125
0 53.125 12.5 3.125
100 34.375 12.5 3.125
162.5 50 12.5 3.125
68.75 25 6.25 12.5
0 50 12.5 3.125
75 137.5 12.5 6.25
171.875 0 3.125 12.5
168.75 0 3.125 12.5
112.5 53.125 12.5 3.125
134.375 150 3.125 12.5
12.5 62.5 12.5 6.25
168.75 12.5 3.125 12.5
171.875 12.5 3.125 12.5
181.25 137.5 6.25 12.5
187.5 62.5 12.5 3.125
12.5 56.25 12.5 6.25
162.5 65.625 12.5 3.125
0 62.5 12.5 6.25
0 56.25 12.5 6.25
75 37.5 12.5 12.5
165.625 112.5 3.125 12.5
150 53.125 12.5 3.125
109.375 112.5 3.125 12.5
25 134.375 12.5 3.125
162.5 0 6.25 12.5
150 65.625 12.5 3.125
75 62.5 12.5 12.5
96.875 37.5 3.125 12.5
150 62.5 12.5 3.125
162.5 62.5 12.5 3.125
137.5 59.375 12.5 3.125
112.5 50 12.5 3.125
96.875 25 3.125 12.5
162.5 175 12.5 6.25
153.125 137.5 3.125 12.5
109.375 150 3.125 12.5
75 190.625 12.5 3.125
75 25 12.5 12.5
125 90.625 12.5 3.125
75 109.375 12.5 3.125
50 115.625 12.5 3.125
50 187.5 12.5 12.5
62.5 115.625 12.5 3.125
162.5 12.5 6.25 12.5
12.5 71.875 12.5 3.125
187.5 56.25 12.5 3.125
103.125 100 3.125 12.5
100 56.25 12.5 3.125
103.125 112.5 3.125 12.5
115.625 100 3.125 12.5
50 175 12.5 12.5
68.75 37.5 6.25 12.5
12.5 68.75 12.5 3.125
12.5 50 12.5 3.125
165.625 100 3.125 12.5
12.5 53.125 12.5 3.125
150 175 12.5 6.25
125 59.375 12.5 3.125
56.25 37.5 3.125 12.5
59.375 37.5 3.125 12.5
153.125 12.5 3.125 12.5
75 175 12.5 12.5
0 125 12.5 3.125
153.125 125 3.125 12.5
100 50 12.5 3.125
109.375 100 3.125 12.5
12.5 112.5 6.25 12.5
150 12.5 3.125 12.5
100 53.125 12.5 3.125
18.75 112.5 6.25 12.5
87.5 59.375 12.5 3.125
87.5 56.25 12.5 3.125
46.875 112.5 3.125 12.5
87.5 37.5 3.125 12.5
175 137.5 6.25 12.5
181.25 112.5 3.125 12.5
115.625 12.5 3.125 12.5
37.5 0 12.5 3.125
175 50 12.5 3.125
150 181.25 12.5 3.125
90.625 37.5 3.125 12.5
190.625 125 3.125 12.5
162.5 112.5 3.125 12.5
143.75 162.5 3.125 12.5
43.75 112.5 3.125 12.5
150 50 12.5 3.125
187.5 137.5 3.125 12.5
137.5 46.875 12.5 3.125
190.625 100 3.125 12.5
146.875 125 3.125 12.5
184.375 112.5 3.125 12.5
37.5 162.5 12.5 3.125
112.5 12.5 3.125 12.5
0 187.5 12.5 6.25
50 75 12.5 12.5
150 59.375 12.5 3.125
125 53.125 12.5 3.125
175 87.5 12.5 6.25
118.75 12.5 6.25 12.5
87.5 103.125 12.5 3.125
37.5 165.625 12.5 3.125
175 59.375 12.5 3.125
175 112.5 6.25 12.5
162.5 125 6.25 12.5
184.375 12.5 3.125 12.5
125 93.75 12.5 3.125
25 3.125 12.5 3.125
175 65.625 12.5 3.125
40.625 112.5 3.125 12.5
50 121.875 12.5 3.125
100 87.5 12.5 3.125
125 50 12.5 3.125
143.75 137.5 3.125 12.5
50 118.75 12.5 3.125
37.5 12.5 12.5 3.125
162.5 168.75 12.5 6.25
106.25 137.5 3.125 12.5
131.25 125 6.25 12.5
37.5 15.625 12.5 3.125
25 50 6.25 12.5
137.5 150 6.25 12.5
137.5 40.625 12.5 3.125
37.5 112.5 3.125 12.5
106.25 162.5 3.125 12.5
0 128.125 12.5 3.125
50 131.25 12.5 3.125
178.125 0 3.125 12.5
128.125 125 3.125 12.5
175 93.75 12.5 3.125
100 12.5 12.5 12.5
37.5 159.375 12.5 3.125
87.5 187.5 12.5 3.125
31.25 112.5 3.125 12.5
34.375 112.5 3.125 12.5
31.25 50 6.25 12.5
31.25 181.25 6.25 6.25
93.75 115.625 6.25 3.125
31.25 175 6.25 3.125
43.75 59.375 6.25 3.125
193.75 21.875 6.25 3.125
68.75 137.5 6.25 3.125
143.75 34.375 6.25 3.125
143.75 87.5 6.25 3.125
159.375 106.25 3.125 6.25
106.25 90.625 6.25 3.125
193.75 165.625 6.25 3.125
193.75 156.25 6.25 3.125
93.75 193.75 6.25 6.25
103.125 131.25 3.125 6.25
6.25 162.5 6.25 3.125
43.75 125 6.25 3.125
193.75 196.875 6.25 3.125
6.25 181.25 6.25 6.25
34.375 193.75 3.125 6.25
150 106.25 3.125 6.25
6.25 175 6.25 6.25
21.875 143.75 3.125 6.25
131.25 12.5 6.25 3.125
143.75 21.875 6.25 3.125
159.375 131.25 3.125 6.25
146.875 168.75 3.125 6.25
143.75 100 6.25 3.125
118.75 193.75 6.25 6.25
193.75 159.375 6.25 3.125
131.25 18.75 6.25 6.25
109.375 131.25 3.125 6.25
156.25 81.25 6.25 6.25
143.75 181.25 3.125 6.25
68.75 96.875 6.25 3.125
125 143.75 3.125 6.25
187.5 118.75 3.125 6.25
68.75 87.5 6.25 3.125
131.25 68.75 6.25 3.125
56.25 96.875 6.25 3.125
93.75 134.375 6.25 3.125
81.25 134.375 6.25 3.125
128.125 168.75 3.125 6.25
168.75 81.25 6.25 6.25
168.75 68.75 6.25 3.125
118.75 46.875 6.25 3.125
131.25 96.875 6.25 3.125
56.25 65.625 6.25 3.125
84.375 6.25 3.125 6.25
78.125 6.25 3.125 6.25
131.25 56.25 6.25 3.125
106.25 28.125 6.25 3.125
143.75 109.375 6.25 3.125
131.25 109.375 6.25 3.125
143.75 115.625 6.25 3.125
143.75 31.25 6.25 3.125
143.75 103.125 6.25 3.125
143.75 106.25 6.25 3.125
56.25 168.75 6.25 6.25
159.375 43.75 3.125 6.25
43.75 131.25 6.25 3.125
103.125 143.75 3.125 6.25
143.75 118.75 6.25 3.125
128.125 137.5 3.125 6.25
143.75 121.875 6.25 3.125
125 103.125 6.25 3.125
68.75 81.25 3.125 6.25
137.5 115.625 6.25 3.125
137.5 143.75 3.125 6.25
125 109.375 6.25 3.125
153.125 193.75 3.125 6.25
156.25 43.75 3.125 6.25
156.25 193.75 3.125 6.25
159.375 193.75 3.125 6.25
143.75 93.75 6.25 3.125
128.125 162.5 3.125 6.25
81.25 146.875 6.25 3.125
43.75 175 6.25 6.25
106.25 25 6.25 3.125
50 65.625 6.25 3.125
31.25 125 6.25 3.125
162.5 68.75 6.25 3.125
37.5 187.5 6.25 6.25
168.75 75 6.25 6.25
137.5 181.25 3.125 6.25
78.125 0 3.125 6.25
68.75 140.625 6.25 3.125
87.5 134.375 6.25 3.125
68.75 146.875 6.25 3.125
125 68.75 6.25 3.125
62.5 140.625 6.25 3.125
50 96.875 6.25 3.125
137.5 90.625 6.25 3.125
146.875 162.5 3.125 6.25
87.5 137.5 6.25 3.125
81.25 0 3.125 6.25
56.25 90.625 6.25 3.125
50 68.75 6.25 3.125
87.5 190.625 6.25 3.125
143.75 175 3.125 6.25
12.5 128.125 6.25 3.125
75 118.75 6.25 3.125
50 50 6.25 6.25
125 56.25 6.25 3.125
109.375 162.5 3.125 6.25
146.875 187.5 3.125 6.25
75 115.625 6.25 3.125
125 18.75 6.25 6.25
125 25 6.25 3.125
137.5 21.875 6.25 3.125
125 28.125 6.25 3.125
75 146.875 6.25 3.125
146.875 137.5 3.125 6.25
150 100 3.125 6.25
193.75 106.25 3.125 6.25
153.125 106.25 3.125 6.25
150 187.5 3.125 6.25
162.5 162.5 6.25 3.125
18.75 178.125 6.25 3.125
25 6.25 6.25 3.125
187.5 100 3.125 6.25
187.5 196.875 6.25 3.125
12.5 131.25 6.25 3.125
87.5 121.875 6.25 3.125
140.625 181.25 3.125 6.25
187.5 156.25 6.25 3.125
62.5 165.625 6.25 3.125
87.5 143.75 6.25 6.25
62.5 162.5 6.25 3.125
162.5 71.875 6.25 3.125
128.125 143.75 3.125 6.25
159.375 100 3.125 6.25
93.75 175 3.125 6.25
156.25 112.5 3.125 6.25
125 115.625 6.25 3.125
112.5 146.875 6.25 3.125
146.875 181.25 3.125 6.25
50 0 6.25 3.125
56.25 165.625 6.25 3.125
96.875 181.25 3.125 6.25
37.5 25 6.25 3.125
37.5 59.375 6.25 3.125
68.75 165.625 6.25 3.125
87.5 181.25 3.125 6.25
146.875 175 3.125 6.25
50 6.25 6.25 3.125
62.5 143.75 6.25 3.125
62.5 12.5 6.25 3.125
103.125 168.75 3.125 6.25
187.5 106.25 3.125 6.25
131.25 28.125 6.25 3.125
100 96.875 6.25 3.125
143.75 112.5 6.25 3.125
31.25 62.5 6.25 6.25
118.75 175 6.25 6.25
50 71.875 6.25 3.125
131.25 34.375 6.25 3.125
6.25 18.75 6.25 3.125
56.25 62.5 6.25 3.125
62.5 96.875 6.25 3.125
75 196.875 6.25 3.125
31.25 178.125 6.25 3.125
156.25 125 3.125 6.25
50 62.5 6.25 3.125
156.25 118.75 3.125 6.25
150 56.25 6.25 3.125
25 34.375 6.25 3.125
137.5 175 3.125 6.25
118.75 187.5 6.25 6.25
125 34.375 6.25 3.125
159.375 187.5 3.125 6.25
159.375 125 3.125 6.25
125 15.625 6.25 3.125
137.5 112.5 6.25 3.125
100 162.5 3.125 6.25
56.25 153.125 6.25 3.125
175 150 6.25 6.25
37.5 125 6.25 3.125
146.875 156.25 3.125 6.25
100 112.5 3.125 6.25
125 112.5 6.25 3.125
115.625 118.75 3.125 6.25
187.5 168.75 6.25 6.25
131.25 118.75 6.25 6.25
62.5 131.25 6.25 3.125
50 3.125 6.25 3.125
62.5 3.125 6.25 3.125
156.25 68.75 6.25 3.125
31.25 34.375 6.25 3.125
50 128.125 6.25 3.125
50 153.125 6.25 3.125
187.5 6.25 6.25 6.25
181.25 12.5 3.125 6.25
81.25 115.625 6.25 3.125
68.75 75 3.125 6.25
56.25 12.5 6.25 3.125
43.75 187.5 6.25 6.25
93.75 109.375 6.25 3.125
128.125 150 3.125 6.25
146.875 150 3.125 6.25
0 18.75 6.25 3.125
150 37.5 6.25 6.25
187.5 165.625 6.25 3.125
18.75 184.375 6.25 3.125
100 90.625 6.25 3.125
156.25 37.5 3.125 6.25
187.5 43.75 6.25 6.25
50 168.75 6.25 6.25
103.125 137.5 3.125 6.25
137.5 56.25 6.25 3.125
118.75 146.875 6.25 3.125
109.375 168.75 3.125 6.25
175 165.625 6.25 3.125
25 62.5 6.25 6.25
109.375 125 3.125 6.25
0 162.5 6.25 3.125
12.5 184.375 6.25 3.125
131.25 137.5 6.25 6.25
100 93.75 6.25 3.125
100 37.5 6.25 3.125
62.5 168.75 6.25 6.25
137.5 106.25 6.25 3.125
93.75 62.5 6.25 6.25
93.75 0 6.25 6.25
71.875 75 3.125 6.25
150 71.875 6.25 3.125
159.375 143.75 3.125 6.25
137.5 34.375 6.25 3.125
125 12.5 6.25 3.125
187.5 159.375 6.25 3.125
159.375 118.75 3.125 6.25
81.25 6.25 3.125 6.25
62.5 156.25 6.25 3.125
50 150 6.25 3.125
93.75 118.75 6.25 3.125
68.75 3.125 6.25 3.125
131.25 31.25 6.25 3.125
68.75 18.75 6.25 3.125
43.75 143.75 6.25 6.25
56.25 21.875 6.25 3.125
56.25 18.75 6.25 3.125
25 68.75 6.25 6.25
56.25 68.75 6.25 3.125
43.75 68.75 6.25 6.25
193.75 6.25 6.25 6.25
68.75 0 6.25 3.125
56.25 6.25 6.25 3.125
143.75 90.625 6.25 3.125
106.25 93.75 6.25 3.125
68.75 9.375 6.25 3.125
193.75 168.75 6.25 6.25
168.75 71.875 6.25 3.125
106.25 40.625 6.25 3.125
156.25 143.75 3.125 6.25
93.75 143.75 6.25 6.25
93.75 121.875 6.25 3.125
131.25 87.5 6.25 3.125
156.25 56.25 6.25 3.125
143.75 96.875 6.25 3.125
168.75 162.5 6.25 3.125
118.75 131.25 6.25 6.25
56.25 3.125 6.25 3.125
140.625 193.75 3.125 6.25
125 168.75 3.125 6.25
128.125 156.25 3.125 6.25
121.875 118.75 3.125 6.25
156.25 131.25 3.125 6.25
181.25 165.625 6.25 3.125
81.25 196.875 6.25 3.125
143.75 68.75 6.25 3.125
93.75 6.25 6.25 6.25
143.75 193.75 3.125 6.25
150 131.25 3.125 6.25
18.75 125 6.25 3.125
131.25 106.25 6.25 3.125
56.25 59.375 6.25 3.125
68.75 159.375 6.25 3.125
193.75 43.75 6.25 6.25
43.75 25 6.25 3.125
56.25 162.5 6.25 3.125
137.5 31.25 6.25 3.125
137.5 193.75 3.125 6.25
50 59.375 6.25 3.125
106.25 37.5 6.25 3.125
100 28.125 6.25 3.125
81.25 143.75 6.25 3.125
125 96.875 6.25 3.125
6.25 137.5 6.25 6.25
125 162.5 3.125 6.25
25 178.125 6.25 3.125
118.75 56.25 6.25 3.125
43.75 193.75 6.25 6.25
68.75 143.75 6.25 3.125
87.5 109.375 6.25 3.125
37.5 28.125 6.25 3.125
62.5 137.5 6.25 3.125
150 193.75 3.125 6.25
25 28.125 6.25 3.125
156.25 75 6.25 6.25
25 31.25 6.25 3.125
175 68.75 6.25 3.125
0 137.5 6.25 6.25
0 181.25 6.25 6.25
50 56.25 6.25 3.125
21.875 137.5 3.125 6.25
87.5 131.25 6.25 3.125
153.125 187.5 3.125 6.25
196.875 100 3.125 6.25
103.125 125 3.125 6.25
100 40.625 6.25 3.125
0 165.625 6.25 3.125
90.625 175 3.125 6.25
125 150 3.125 6.25
56.25 156.25 6.25 6.25
50 90.625 6.25 3.125
62.5 128.125 6.25 3.125
137.5 87.5 6.25 3.125
93.75 181.25 3.125 6.25
50 12.5 6.25 3.125
62.5 90.625 6.25 3.125
187.5 21.875 6.25 3.125
175 159.375 6.25 3.125
62.5 15.625 6.25 3.125
56.25 50 6.25 6.25
125 137.5 3.125 6.25
93.75 190.625 6.25 3.125
159.375 112.5 3.125 6.25
18.75 128.125 6.25 3.125
75 134.375 6.25 3.125
25 25 6.25 3.125
156.25 106.25 3.125 6.25
112.5 56.25 6.25 3.125
137.5 100 6.25 3.125
75 143.75 6.25 3.125
59.375 137.5 3.125 6.25
34.375 187.5 3.125 6.25
134.375 6.25 3.125 6.25
150 43.75 6.25 6.25
156.25 137.5 3.125 6.25
87.5 118.75 6.25 3.125
100 118.75 3.125 6.25
50 125 6.25 3.125
18.75 131.25 6.25 3.125
62.5 81.25 6.25 6.25
187.5 150 6.25 6.25
112.5 28.125 6.25 3.125
56.25 9.375 6.25 3.125
153.125 100 3.125 6.25
25 125 6.25 3.125
137.5 187.5 3.125 6.25
150 125 3.125 6.25
56.25 71.875 6.25 3.125
131.25 100 6.25 3.125
90.625 181.25 3.125 6.25
143.75 187.5 3.125 6.25
62.5 146.875 6.25 3.125
0 143.75 6.25 6.25
50 9.375 6.25 3.125
156.25 100 3.125 6.25
112.5 181.25 6.25 6.25
121.875 112.5 3.125 6.25
181.25 18.75 3.125 6.25
62.5 0 6.25 3.125
62.5 87.5 6.25 3.125
50 156.25 6.25 6.25
56.25 128.125 6.25 3.125
68.75 15.625 6.25 3.125
93.75 140.625 6.25 3.125
193.75 150 6.25 6.25
56.25 15.625 6.25 3.125
93.75 112.5 6.25 3.125
93.75 137.5 6.25 3.125
31.25 6.25 6.25 3.125
146.875 143.75 3.125 6.25
56.25 0 6.25 3.125
6.25 165.625 6.25 3.125
146.875 193.75 3.125 6.25
118.75 181.25 6.25 6.25
196.875 106.25 3.125 6.25
131.25 112.5 6.25 3.125
109.375 143.75 3.125 6.25
43.75 28.125 6.25 3.125
118.75 28.125 6.25 3.125
56.25 87.5 6.25 3.125
137.5 121.875 6.25 3.125
68.75 90.625 6.25 3.125
68.75 168.75 6.25 6.25
159.375 37.5 3.125 6.25
131.25 143.75 6.25 6.25
137.5 103.125 6.25 3.125
71.875 81.25 3.125 6.25
156.25 71.875 6.25 3.125
118.75 93.75 6.25 3.125
12.5 178.125 6.25 3.125
25 181.25 6.25 6.25
134.375 0 3.125 6.25
62.5 125 6.25 3.125
112.5 175 6.25 6.25
100 25 6.25 3.125
112.5 131.25 6.25 6.25
50 165.625 6.25 3.125
100 125 3.125 6.25
137.5 137.5 3.125 6.25
12.5 125 6.25 3.125
96.875 175 3.125 6.25
159.375 137.5 3.125 6.25
37.5 131.25 6.25 3.125
50 18.75 6.25 3.125
68.75 156.25 6.25 3.125
37.5 68.75 6.25 6.25
6.25 143.75 6.25 6.25
68.75 125 6.25 3.125
84.375 0 3.125 6.25
37.5 175 6.25 6.25
59.375 143.75 3.125 6.25
137.5 68.75 6.25 3.125
125 118.75 6.25 6.25
62.5 9.375 6.25 3.125
50 15.625 6.25 3.125
125 100 6.25 3.125
87.5 62.5 6.25 6.25
125 156.25 3.125 6.25
137.5 109.375 6.25 3.125
87.5 175 3.125 6.25
140.625 175 3.125 6.25
87.5 140.625 6.25 3.125
